Gest,WT
21.5,6.2
22.5,7.23
22,6.75
22.5,7.16
22.5,6.84
23,7.2
22.5,7.25
23,7.65
21.5,5.72
22,6.86
22.5,7.33
22,6.26
22,6.6
21.5,6.33
22,6.88
22.5,6.58
22,6.61
23,7.56
21.5,6.2
22,6.53
22,6.08
21.5,6.05
22.5,7.43
21,5.83
22,6.26
21.5,5.8
23.5,8.2
22.5,6.69
21.5,5.62
21.5,5.26
24.5,7.13
22.5,8.35
22,5.99
22,6.53
23,6.42
21.5,5.28
22.5,6.83
22,6.78
22,6.38
21.5,5.42
22,5.38
22.5,7.92
22.5,6.83
22.5,5.96
22,6.08
23,6.64
22.5,6.41
21.5,5.8
23,6.53
23,6.56
22,6.78
22.5,7.06
22,5.73
21.5,5.51
22.5,7.33
22.5,7.03
22,6.36
22.5,6.83
21.5,7.06
22,5.53
22,5.3
22,5.78
21.5,6.08
21.5,5.95
22.5,7.38
22.5,6.93
21.5,5.96
22,7.23
22,6.47
22.5,7.35
22.5,6.63
22.5,5.67
23.5,5.98
22,6.88
22,7.18
22,6.56
22.5,7.1
23,7.33
22.5,7.19
22.5,7.37
22,6.88
21.5,6.71
23,7.54
22,7.2
22,7.33
22.5,6.96
22,6.28
22,6.62
21.5,6.4
22.5,6.95
22.5,7.87
21.5,6.39
